inicio,leia,escreva,id,se,repita,fim,varfim,inteiro,real,literal,vir,pt_v,num,rcb,opm,fimse,fimrepita,ab_p,fc_p,entao,opr,varinicio,lit,$
erro,S22,S25,S32,S50,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,S67,erro,erro,erro,erro,erro,erro,erro
erro,R33,R33,R33,R33,R33,R33,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,S22,S25,S32,S50,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,S67,erro,erro,erro,erro,erro,erro,erro
erro,R35,R35,R35,R35,R35,R35,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,S22,S25,S32,S50,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,S67,erro,erro,erro,erro,erro,erro,erro
erro,S22,S25,S32,S50,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,S67,erro,erro,erro,erro,erro,erro,erro
erro,R38,R38,R38,R38,R38,R38,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,R36,R36,R36,R36,R36,R36,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,R37,R37,R37,R37,R37,R37,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,S71,erro,erro,erro,erro,erro,erro
erro,erro,erro,S39,erro,erro,erro,erro,erro,erro,erro,erro,erro,S40,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,S73,erro,erro,erro,erro,erro
erro,R34,R34,R34,R34,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,R34,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,R39
erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,R24
erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,R27,erro,erro,erro,erro,erro
